,0,1,2
189,492029.0,486489.0,374797.0
190,492029.0,491371.0,374797.0
191,502571.0,491371.0,374797.0
192,502571.0,504086.0,374797.0
193,514418.0,504086.0,374797.0
194,514418.0,504086.0,374797.0
195,514418.0,504086.0,374797.0
196,514418.0,504086.0,374797.0
197,514418.0,504086.0,374797.0
198,514418.0,504086.0,374797.0
199,514418.0,504086.0,374797.0
200,514418.0,504086.0,374797.0
201,514418.0,504086.0,374797.0
202,514418.0,504086.0,374797.0
203,514418.0,504086.0,374797.0
204,514418.0,504086.0,374797.0
205,514418.0,504086.0,374797.0
206,514418.0,504086.0,374797.0
207,514418.0,504086.0,374797.0
208,514418.0,504086.0,374797.0
209,514418.0,504086.0,374797.0
210,514418.0,504086.0,374797.0
211,514418.0,504086.0,374797.0
212,514418.0,504086.0,374797.0
213,514418.0,504086.0,374797.0
214,514418.0,504086.0,374797.0
215,514418.0,504086.0,374797.0
216,514418.0,504086.0,374797.0
217,514418.0,504086.0,374797.0
218,514418.0,504086.0,374797.0
219,514418.0,504086.0,374797.0
220,514418.0,504086.0,374797.0
221,514418.0,504086.0,374797.0
222,514418.0,504086.0,374797.0
223,514418.0,504086.0,374797.0
224,514418.0,504086.0,374797.0
225,514418.0,504086.0,374797.0
226,514418.0,504086.0,374797.0
227,514418.0,504086.0,374797.0
228,514418.0,504086.0,374797.0
229,514418.0,504086.0,374797.0
230,514418.0,504086.0,374797.0
231,514418.0,504086.0,374797.0
232,514418.0,504086.0,374797.0
233,514418.0,504086.0,374797.0
234,514418.0,504086.0,374797.0
235,514418.0,504086.0,374797.0
236,514418.0,504086.0,374797.0
237,514418.0,504086.0,374797.0
238,514418.0,504086.0,374797.0
239,514418.0,504086.0,374797.0
240,514418.0,504086.0,374797.0
241,514418.0,504086.0,374797.0
242,514418.0,504086.0,374797.0
243,514418.0,504086.0,374797.0
244,514418.0,504086.0,374797.0
245,514418.0,504086.0,374797.0
246,514418.0,504086.0,374797.0
247,514418.0,504086.0,374797.0
248,514418.0,504086.0,374797.0
249,514418.0,504086.0,374797.0
