sHomeName,sAwayName,iHomeGoals,iAwayGoals,sRegularPP,sCalendar,sMatchInfo,sStadium,sSpectators,dDate,iSpectators,sHome,sAway
DVTK Jegesmedvék Miskolc,HK Nitra,2,0,," Nedeľa 23.12.2018, 17:30"," 34. kolo, Číslo zápasu 202"," Ice rink Miskolc, HUN", 1505 divákov,12/23/2018 17:30,1505,MI,NR
HC 07 Detva ,MsHK DOXXbet Žilina,4,3,," Nedeľa 23.12.2018, 17:30"," 34. kolo, Číslo zápasu 203", ZŠ Detva, 503 divákov,12/23/2018 17:30,503,DT,ZI
HKM Zvolen,HC Košice,2,1,," Nedeľa 23.12.2018, 16:00"," 34. kolo, Číslo zápasu 204", ZŠ Zvolen, 2090 divákov,12/23/2018 16:00,2090,ZV,KE
MHk 32 Liptovský Mikuláš,HKM Zvolen,1,4,," Utorok 04.12.2018, 17:00"," 35. kolo, Číslo zápasu 205", ZŠ Spišská Nová Ves, 174 divákov,12/4/2018 17:00,174,LM,ZV
HC Košice,HC 07 Detva ,2,0,," Streda 26.12.2018, 17:00"," 35. kolo, Číslo zápasu 206", STEEL Arena Košice, 4158 divákov,12/26/2018 17:00,4158,KE,DT
MsHK DOXXbet Žilina,DVTK Jegesmedvék Miskolc,5,3,," Streda 26.12.2018, 17:00"," 35. kolo, Číslo zápasu 207", ZŠ Žilina, 884 divákov,12/26/2018 17:00,884,ZI,MI
HK Nitra,MHC MIKRON Nové Zámky ,3,4,pp," Streda 26.12.2018, 18:00"," 35. kolo, Číslo zápasu 208", Nitra Aréna, 3479 divákov,12/26/2018 18:00,3479,NR,NZ
MAC Újbuda ,HK Poprad,1,3,," Streda 26.12.2018, 18:00"," 35. kolo, Číslo zápasu 209"," Ice rink MAC Budapest, HUN", 700 divákov,12/26/2018 18:00,700,BU,PP
HK DUKLA Trenčín,HC ‘05 iClinic Banská Bystrica,4,3,," Streda 26.12.2018, 17:00"," 35. kolo, Číslo zápasu 210"," ZŠ Pavla Demitru, Trenčín", 4824 divákov,12/26/2018 17:00,4824,TN,BB
MHk 32 Liptovský Mikuláš,HK DUKLA Trenčín,3,1,," Piatok 28.12.2018, 17:00"," 36. kolo, Číslo zápasu 211", ZŠ Spišská Nová Ves, 254 divákov,12/28/2018 17:00,254,LM,TN
HC ‘05 iClinic Banská Bystrica,MAC Újbuda ,7,2,," Piatok 28.12.2018, 17:30"," 36. kolo, Číslo zápasu 212", ZŠ Banská Bystrica, 2772 divákov,12/28/2018 17:30,2772,BB,BU
HK Poprad,HK Nitra,1,6,," Piatok 28.12.2018, 17:00"," 36. kolo, Číslo zápasu 213", ZŠ Poprad, 3580 divákov,12/28/2018 17:00,3580,PP,NR
MHC MIKRON Nové Zámky ,MsHK DOXXbet Žilina,6,0,," Piatok 28.12.2018, 18:30"," 36. kolo, Číslo zápasu 214", ZŠ Nové Zámky, 1456 divákov,12/28/2018 18:30,1456,NZ,ZI
DVTK Jegesmedvék Miskolc,HC Košice,5,4,," Piatok 28.12.2018, 18:30"," 36. kolo, Číslo zápasu 215"," Ice rink Miskolc, HUN", 1990 divákov,12/28/2018 18:30,1990,MI,KE
HC 07 Detva ,HKM Zvolen,6,5,pp," Piatok 28.12.2018, 18:00"," 36. kolo, Číslo zápasu 216", ZŠ Detva, 1245 divákov,12/28/2018 18:00,1245,DT,ZV
HC 07 Detva ,MHk 32 Liptovský Mikuláš,4,2,," Nedeľa 30.12.2018, 17:30"," 37. kolo, Číslo zápasu 217", ZŠ Detva, 635 divákov,12/30/2018 17:30,635,DT,LM
HKM Zvolen,DVTK Jegesmedvék Miskolc,2,0,," Nedeľa 30.12.2018, 17:00"," 37. kolo, Číslo zápasu 218", ZŠ Zvolen, 1893 divákov,12/30/2018 17:00,1893,ZV,MI
HC Košice,MHC MIKRON Nové Zámky ,3,1,," Nedeľa 30.12.2018, 17:00"," 37. kolo, Číslo zápasu 219", STEEL Arena Košice, 4541 divákov,12/30/2018 17:00,4541,KE,NZ
MsHK DOXXbet Žilina,HK Poprad,2,3,," Nedeľa 30.12.2018, 17:00"," 37. kolo, Číslo zápasu 220", ZŠ Žilina, 708 divákov,12/30/2018 17:00,708,ZI,PP
HK Nitra,HC ‘05 iClinic Banská Bystrica,3,6,," Nedeľa 30.12.2018, 16:00"," 37. kolo, Číslo zápasu 221", Nitra Aréna, 3496 divákov,12/30/2018 16:00,3496,NR,BB
MAC Újbuda ,HK DUKLA Trenčín,3,1,," Nedeľa 30.12.2018, 18:00"," 37. kolo, Číslo zápasu 222"," Ice rink MAC Budapest, HUN", 1010 divákov,12/30/2018 18:00,1010,BU,TN
MHk 32 Liptovský Mikuláš,MAC Újbuda ,2,3,," Piatok 04.01.2019, 19:30"," 38. kolo, Číslo zápasu 223", ZŠ Spišská Nová Ves, 135 divákov,1/4/2019 19:30,135,LM,BU
HK DUKLA Trenčín,HK Nitra,2,3,sn," Piatok 04.01.2019, 18:00"," 38. kolo, Číslo zápasu 224"," ZŠ Pavla Demitru, Trenčín", 3854 divákov,1/4/2019 18:00,3854,TN,NR
HC ‘05 iClinic Banská Bystrica,MsHK DOXXbet Žilina,5,3,," Piatok 04.01.2019, 17:30"," 38. kolo, Číslo zápasu 225", ZŠ Banská Bystrica, 2719 divákov,1/4/2019 17:30,2719,BB,ZI
HK Poprad,HC Košice,1,3,," Piatok 04.01.2019, 17:00"," 38. kolo, Číslo zápasu 226", ZŠ Poprad, 3630 divákov,1/4/2019 17:00,3630,PP,KE
MHC MIKRON Nové Zámky ,HKM Zvolen,3,4,," Piatok 04.01.2019, 18:30"," 38. kolo, Číslo zápasu 227", ZŠ Nové Zámky, 1458 divákov,1/4/2019 18:30,1458,NZ,ZV
DVTK Jegesmedvék Miskolc,HC 07 Detva ,1,2,," Piatok 04.01.2019, 18:30"," 38. kolo, Číslo zápasu 228"," Ice rink Miskolc, HUN", 1125 divákov,1/4/2019 18:30,1125,MI,DT
DVTK Jegesmedvék Miskolc,MHk 32 Liptovský Mikuláš,3,2,," Nedeľa 06.01.2019, 17:30"," 39. kolo, Číslo zápasu 229"," Ice rink Miskolc, HUN", 1015 divákov,1/6/2019 17:30,1015,MI,LM
HC 07 Detva ,MHC MIKRON Nové Zámky ,5,0,," Nedeľa 06.01.2019, 17:30"," 39. kolo, Číslo zápasu 230", ZŠ Detva, 584 divákov,1/6/2019 17:30,584,DT,NZ
HKM Zvolen,HK Poprad,4,0,," Nedeľa 06.01.2019, 16:00"," 39. kolo, Číslo zápasu 231", ZŠ Zvolen, 1518 divákov,1/6/2019 16:00,1518,ZV,PP
HC Košice,HC ‘05 iClinic Banská Bystrica,3,5,," Nedeľa 06.01.2019, 17:00"," 39. kolo, Číslo zápasu 232", STEEL Arena Košice, 5221 divákov,1/6/2019 17:00,5221,KE,BB
MsHK DOXXbet Žilina,HK DUKLA Trenčín,1,2,pp," Štvrtok 29.11.2018, 17:30"," 39. kolo, Číslo zápasu 233", ZŠ Žilina, 497 divákov,11/29/2018 17:30,497,ZI,TN
HK Nitra,MAC Újbuda ,6,1,," Nedeľa 06.01.2019, 16:00"," 39. kolo, Číslo zápasu 234", Nitra Aréna, 2116 divákov,1/6/2019 16:00,2116,NR,BU
MHk 32 Liptovský Mikuláš,HK Nitra,1,7,," Nedeľa 03.02.2019, 17:00"," 40. kolo, Číslo zápasu 235", ZŠ Lipt. Mikuláš, 1684 divákov,2/3/2019 17:00,1684,LM,NR
MAC Újbuda ,MsHK DOXXbet Žilina,5,2,," Nedeľa 03.02.2019, 18:00"," 40. kolo, Číslo zápasu 236"," Ice rink MAC Budapest, HUN", 450 divákov,2/3/2019 18:00,450,BU,ZI
HK DUKLA Trenčín,HC Košice,3,6,," Nedeľa 03.02.2019, 17:00"," 40. kolo, Číslo zápasu 237"," ZŠ Pavla Demitru, Trenčín", 3236 divákov,2/3/2019 17:00,3236,TN,KE
HC ‘05 iClinic Banská Bystrica,HKM Zvolen,2,3,," Nedeľa 03.02.2019, 14:00"," 40. kolo, Číslo zápasu 238", ZŠ Banská Bystrica, 7500 divákov,2/3/2019 14:00,7500,BB,ZV
HK Poprad,HC 07 Detva ,3,1,," Nedeľa 03.02.2019, 17:00"," 40. kolo, Číslo zápasu 239", ZŠ Poprad, 1080 divákov,2/3/2019 17:00,1080,PP,DT
MHC MIKRON Nové Zámky ,DVTK Jegesmedvék Miskolc,1,2,," Nedeľa 03.02.2019, 16:00"," 40. kolo, Číslo zápasu 240", ZŠ Nové Zámky, 1234 divákov,2/3/2019 16:00,1234,NZ,MI
MHC MIKRON Nové Zámky ,MHk 32 Liptovský Mikuláš,2,5,," Piatok 11.01.2019, 18:30"," 41. kolo, Číslo zápasu 241", ZŠ Nové Zámky, 923 divákov,1/11/2019 18:30,923,NZ,LM
DVTK Jegesmedvék Miskolc,HK Poprad,3,2,," Piatok 11.01.2019, 18:00"," 41. kolo, Číslo zápasu 242"," Ice rink Miskolc, HUN", 1215 divákov,1/11/2019 18:00,1215,MI,PP
