sHomeName,sAwayName,iHomeGoals,iAwayGoals,sRegularPP,sCalendar,sMatchInfo,sStadium,sSpectators,dDate,iSpectators,sHome,sAway
HK Nitra,HKM Zvolen,6,1,," Nedeľa 10.09.2017, 16:00"," 2. kolo, Číslo zápasu 6", Nitra Aréna, 3033 divákov,9/10/2017 16:00,3033,NR,ZV
HC 07 Detva,HC Nové Zámky ,2,3,pp," Nedeľa 10.09.2017, 17:00"," 2. kolo, Číslo zápasu 7", ZŠ Detva, 984 divákov,9/10/2017 17:00,984,DT,NZ
HC Košice,MHK 32 Liptovský Mikuláš,2,3,sn," Nedeľa 10.09.2017, 17:00"," 2. kolo, Číslo zápasu 8", STEEL Arena Košice, 3056 divákov,9/10/2017 17:00,3056,KE,LM
HK Poprad,HK DUKLA Trenčín,2,3,," Nedeľa 10.09.2017, 16:00"," 2. kolo, Číslo zápasu 9", ZŠ Poprad, 1208 divákov,9/10/2017 16:00,1208,PP,TN
HC ‘05 iClinic Banská Bystrica,MsHK DOXXbet Žilina,4,3,," Nedeľa 10.09.2017, 17:00"," 2. kolo, Číslo zápasu 10", ZŠ Banská Bystrica, 2188 divákov,9/10/2017 17:00,2188,BB,ZI
MsHK DOXXbet Žilina,HK Nitra,10,4,," Piatok 15.09.2017, 18:00"," 3. kolo, Číslo zápasu 11", _,Prehľad,9/15/2017 18:00,,ZI,NR
HK DUKLA Trenčín,HC ‘05 iClinic Banská Bystrica,3,2,pp," Piatok 15.09.2017, 17:00"," 3. kolo, Číslo zápasu 12"," ZŠ Pavla Demitru, Trenčín", 2680 divákov,9/15/2017 17:00,2680,TN,BB
HC Košice,HK Poprad,5,2,," Piatok 15.09.2017, 17:00"," 3. kolo, Číslo zápasu 13", STEEL Arena Košice, 3567 divákov,9/15/2017 17:00,3567,KE,PP
HC Nové Zámky ,MHK 32 Liptovský Mikuláš,0,3,," Piatok 15.09.2017, 18:30"," 3. kolo, Číslo zápasu 14", ZŠ Nové Zámky, 1873 divákov,9/15/2017 18:30,1873,NZ,LM
HKM Zvolen,HC 07 Detva,5,4,," Piatok 15.09.2017, 17:00"," 3. kolo, Číslo zápasu 15", ZŠ Zvolen, 4080 divákov,9/15/2017 17:00,4080,ZV,DT
HK Nitra,HC 07 Detva,5,2,," Nedeľa 17.09.2017, 16:00"," 4. kolo, Číslo zápasu 16", Nitra Aréna, 2545 divákov,9/17/2017 16:00,2545,NR,DT
MHK 32 Liptovský Mikuláš,HKM Zvolen,0,3,," Nedeľa 17.09.2017, 15:00"," 4. kolo, Číslo zápasu 17", ZŠ Lipt. Mikuláš, 1400 divákov,9/17/2017 15:00,1400,LM,ZV
HK Poprad,HC Nové Zámky ,3,1,," Nedeľa 17.09.2017, 17:00"," 4. kolo, Číslo zápasu 18", ZŠ Poprad, 1118 divákov,9/17/2017 17:00,1118,PP,NZ
HC ‘05 iClinic Banská Bystrica,HC Košice,2,1,," Nedeľa 17.09.2017, 17:00"," 4. kolo, Číslo zápasu 19", ZŠ Banská Bystrica, 2457 divákov,9/17/2017 17:00,2457,BB,KE
MsHK DOXXbet Žilina,HK DUKLA Trenčín,0,3,," Nedeľa 17.09.2017, 17:00"," 4. kolo, Číslo zápasu 20", _,Prehľad,9/17/2017 17:00,,ZI,TN
HK DUKLA Trenčín,HK Nitra,4,0,," Piatok 22.09.2017, 18:00"," 5. kolo, Číslo zápasu 21"," ZŠ Pavla Demitru, Trenčín", 3347 divákov,9/22/2017 18:00,3347,TN,NR
HC Košice,MsHK DOXXbet Žilina,6,3,," Piatok 22.09.2017, 17:30"," 5. kolo, Číslo zápasu 22", STEEL Arena Košice, 3186 divákov,9/22/2017 17:30,3186,KE,ZI
HC Nové Zámky ,HC ‘05 iClinic Banská Bystrica,3,2,pp," Piatok 22.09.2017, 18:30"," 5. kolo, Číslo zápasu 23", ZŠ Nové Zámky, 1342 divákov,9/22/2017 18:30,1342,NZ,BB
HKM Zvolen,HK Poprad,2,3,pp," Piatok 22.09.2017, 18:00"," 5. kolo, Číslo zápasu 24", ZŠ Zvolen, 1050 divákov,9/22/2017 18:00,1050,ZV,PP
HC 07 Detva,MHK 32 Liptovský Mikuláš,1,5,," Piatok 22.09.2017, 18:00"," 5. kolo, Číslo zápasu 25", ZŠ Detva, 685 divákov,9/22/2017 18:00,685,DT,LM
HK Nitra,MHK 32 Liptovský Mikuláš,3,2,," Nedeľa 24.09.2017, 16:00"," 6. kolo, Číslo zápasu 26", Nitra Aréna, 2216 divákov,9/24/2017 16:00,2216,NR,LM
HK Poprad,HC 07 Detva,4,1,," Nedeľa 24.09.2017, 17:00"," 6. kolo, Číslo zápasu 27", ZŠ Poprad, 1314 divákov,9/24/2017 17:00,1314,PP,DT
HC ‘05 iClinic Banská Bystrica,HKM Zvolen,4,2,," Nedeľa 24.09.2017, 17:00"," 6. kolo, Číslo zápasu 28", ZŠ Banská Bystrica, 2827 divákov,9/24/2017 17:00,2827,BB,ZV
MsHK DOXXbet Žilina,HC Nové Zámky ,3,1,," Nedeľa 24.09.2017, 16:30"," 6. kolo, Číslo zápasu 29", _, 716 divákov,9/24/2017 16:30,716,ZI,NZ
HK DUKLA Trenčín,HC Košice,3,1,," Nedeľa 24.09.2017, 17:15"," 6. kolo, Číslo zápasu 30"," ZŠ Pavla Demitru, Trenčín", 3186 divákov,9/24/2017 17:15,3186,TN,KE
HC Košice,HK Nitra,4,1,," Piatok 29.09.2017, 17:30"," 7. kolo, Číslo zápasu 31", STEEL Arena Košice, 3896 divákov,9/29/2017 17:30,3896,KE,NR
HC Nové Zámky ,HK DUKLA Trenčín,1,3,," Piatok 29.09.2017, 18:30"," 7. kolo, Číslo zápasu 32", ZŠ Nové Zámky, 1678 divákov,9/29/2017 18:30,1678,NZ,TN
HKM Zvolen,MsHK DOXXbet Žilina,3,2,sn," Piatok 29.09.2017, 18:00"," 7. kolo, Číslo zápasu 33", ZŠ Zvolen, 990 divákov,9/29/2017 18:00,990,ZV,ZI
HC 07 Detva,HC ‘05 iClinic Banská Bystrica,0,3,," Piatok 29.09.2017, 18:00"," 7. kolo, Číslo zápasu 34", ZŠ Detva, 1097 divákov,9/29/2017 18:00,1097,DT,BB
MHK 32 Liptovský Mikuláš,HK Poprad,1,2,pp," Piatok 29.09.2017, 17:00"," 7. kolo, Číslo zápasu 35", ZŠ Lipt. Mikuláš, 1200 divákov,9/29/2017 17:00,1200,LM,PP
HK Nitra,HK Poprad,3,4,sn," Nedeľa 01.10.2017, 16:00"," 8. kolo, Číslo zápasu 36", Nitra Aréna, 1730 divákov,10/1/2017 16:00,1730,NR,PP
HC ‘05 iClinic Banská Bystrica,MHK 32 Liptovský Mikuláš,5,2,," Nedeľa 01.10.2017, 17:00"," 8. kolo, Číslo zápasu 37", ZŠ Banská Bystrica, 2261 divákov,10/1/2017 17:00,2261,BB,LM
MsHK DOXXbet Žilina,HC 07 Detva,5,2,," Nedeľa 01.10.2017, 17:00"," 8. kolo, Číslo zápasu 38", _, 567 divákov,10/1/2017 17:00,567,ZI,DT
HK DUKLA Trenčín,HKM Zvolen,3,1,," Nedeľa 01.10.2017, 17:00"," 8. kolo, Číslo zápasu 39"," ZŠ Pavla Demitru, Trenčín", 2670 divákov,10/1/2017 17:00,2670,TN,ZV
HC Košice,HC Nové Zámky ,4,3,," Nedeľa 01.10.2017, 17:00"," 8. kolo, Číslo zápasu 40", STEEL Arena Košice, 2961 divákov,10/1/2017 17:00,2961,KE,NZ
HC Nové Zámky ,HK Nitra,6,4,," Piatok 06.10.2017, 18:30"," 9. kolo, Číslo zápasu 41", ZŠ Nové Zámky, 1945 divákov,10/6/2017 18:30,1945,NZ,NR
HKM Zvolen,HC Košice,4,1,," Piatok 06.10.2017, 18:00"," 9. kolo, Číslo zápasu 42", ZŠ Zvolen, 1226 divákov,10/6/2017 18:00,1226,ZV,KE
HC 07 Detva,HK DUKLA Trenčín,0,2,," Piatok 06.10.2017, 18:00"," 9. kolo, Číslo zápasu 43", ZŠ Detva, 624 divákov,10/6/2017 18:00,624,DT,TN
MHK 32 Liptovský Mikuláš,MsHK DOXXbet Žilina,2,1,," Piatok 06.10.2017, 17:00"," 9. kolo, Číslo zápasu 44", ZŠ Lipt. Mikuláš, 1100 divákov,10/6/2017 17:00,1100,LM,ZI
HK Poprad,HC ‘05 iClinic Banská Bystrica,6,4,," Piatok 06.10.2017, 17:00"," 9. kolo, Číslo zápasu 45", ZŠ Poprad, 1680 divákov,10/6/2017 17:00,1680,PP,BB
HK Nitra,HC ‘05 iClinic Banská Bystrica,1,7,," Nedeľa 08.10.2017, 16:00"," 10. kolo, Číslo zápasu 46", Nitra Aréna, 2281 divákov,10/8/2017 16:00,2281,NR,BB
HK Poprad,MsHK DOXXbet Žilina,3,2,," Nedeľa 08.10.2017, 17:00"," 10. kolo, Číslo zápasu 47", ZŠ Poprad, 1169 divákov,10/8/2017 17:00,1169,PP,ZI
MHK 32 Liptovský Mikuláš,HK DUKLA Trenčín,0,2,," Nedeľa 08.10.2017, 15:00"," 10. kolo, Číslo zápasu 48", ZŠ Lipt. Mikuláš, 950 divákov,10/8/2017 15:00,950,LM,TN
HC 07 Detva,HC Košice,2,3,," Nedeľa 08.10.2017, 17:00"," 10. kolo, Číslo zápasu 49", ZŠ Detva, 612 divákov,10/8/2017 17:00,612,DT,KE
HKM Zvolen,HC Nové Zámky ,4,1,," Nedeľa 08.10.2017, 17:00"," 10. kolo, Číslo zápasu 50", ZŠ Zvolen, 1170 divákov,10/8/2017 17:00,1170,ZV,NZ
HKM Zvolen,HK Nitra,3,4,sn," Piatok 13.10.2017, 18:00"," 11. kolo, Číslo zápasu 51", ZŠ Zvolen, 1518 divákov,10/13/2017 18:00,1518,ZV,NR
HC Nové Zámky ,HC 07 Detva,3,1,," Piatok 13.10.2017, 18:30"," 11. kolo, Číslo zápasu 52", ZŠ Nové Zámky, 1242 divákov,10/13/2017 18:30,1242,NZ,DT
MHK 32 Liptovský Mikuláš,HC Košice,5,3,," Piatok 13.10.2017, 17:00"," 11. kolo, Číslo zápasu 53", ZŠ Lipt. Mikuláš, 850 divákov,10/13/2017 17:00,850,LM,KE
HK DUKLA Trenčín,HK Poprad,3,2,pp," Piatok 13.10.2017, 18:00"," 11. kolo, Číslo zápasu 54"," ZŠ Pavla Demitru, Trenčín", 3259 divákov,10/13/2017 18:00,3259,TN,PP
MsHK DOXXbet Žilina,HC ‘05 iClinic Banská Bystrica,3,1,," Utorok 17.10.2017, 18:00"," 11. kolo, Číslo zápasu 55", _, 1217 divákov,10/17/2017 18:00,1217,ZI,BB
HK Nitra,MsHK DOXXbet Žilina,2,3,," Nedeľa 15.10.2017, 16:00"," 12. kolo, Číslo zápasu 56", Nitra Aréna, 1754 divákov,10/15/2017 16:00,1754,NR,ZI
HC ‘05 iClinic Banská Bystrica,HK DUKLA Trenčín,5,2,," Nedeľa 15.10.2017, 17:00"," 12. kolo, Číslo zápasu 57", ZŠ Banská Bystrica, 2841 divákov,10/15/2017 17:00,2841,BB,TN
HK Poprad,HC Košice,0,1,," Nedeľa 15.10.2017, 17:00"," 12. kolo, Číslo zápasu 58", ZŠ Poprad, 2248 divákov,10/15/2017 17:00,2248,PP,KE
MHK 32 Liptovský Mikuláš,HC Nové Zámky ,1,3,," Nedeľa 15.10.2017, 15:00"," 12. kolo, Číslo zápasu 59", ZŠ Lipt. Mikuláš, 600 divákov,10/15/2017 15:00,600,LM,NZ
HC 07 Detva,HKM Zvolen,0,5,," Nedeľa 15.10.2017, 16:00"," 12. kolo, Číslo zápasu 60", ZŠ Detva, 1024 divákov,10/15/2017 16:00,1024,DT,ZV
HC 07 Detva,HK Nitra,0,7,," Piatok 20.10.2017, 18:00"," 13. kolo, Číslo zápasu 61", ZŠ Detva, 560 divákov,10/20/2017 18:00,560,DT,NR
HKM Zvolen,MHK 32 Liptovský Mikuláš,5,3,," Piatok 20.10.2017, 18:00"," 13. kolo, Číslo zápasu 62", ZŠ Zvolen, 1073 divákov,10/20/2017 18:00,1073,ZV,LM
HC Nové Zámky ,HK Poprad,5,0,," Piatok 20.10.2017, 18:30"," 13. kolo, Číslo zápasu 63", ZŠ Nové Zámky, 1344 divákov,10/20/2017 18:30,1344,NZ,PP
HC Košice,HC ‘05 iClinic Banská Bystrica,5,2,," Piatok 20.10.2017, 17:30"," 13. kolo, Číslo zápasu 64", STEEL Arena Košice, 4734 divákov,10/20/2017 17:30,4734,KE,BB
HK DUKLA Trenčín,MsHK DOXXbet Žilina,7,0,," Piatok 20.10.2017, 18:00"," 13. kolo, Číslo zápasu 65"," ZŠ Pavla Demitru, Trenčín", 2857 divákov,10/20/2017 18:00,2857,TN,ZI
HK Nitra,HK DUKLA Trenčín,3,4,pp," Nedeľa 22.10.2017, 16:00"," 14. kolo, Číslo zápasu 66", Nitra Aréna, 3033 divákov,10/22/2017 16:00,3033,NR,TN
MsHK DOXXbet Žilina,HC Košice,2,3,," Nedeľa 22.10.2017, 17:00"," 14. kolo, Číslo zápasu 67", _, 761 divákov,10/22/2017 17:00,761,ZI,KE
HC ‘05 iClinic Banská Bystrica,HC Nové Zámky ,8,3,," Nedeľa 22.10.2017, 16:00"," 14. kolo, Číslo zápasu 68", ZŠ Banská Bystrica, 2522 divákov,10/22/2017 16:00,2522,BB,NZ
HK Poprad,HKM Zvolen,1,4,," Nedeľa 22.10.2017, 17:00"," 14. kolo, Číslo zápasu 69", ZŠ Poprad, 1193 divákov,10/22/2017 17:00,1193,PP,ZV
MHK 32 Liptovský Mikuláš,HC 07 Detva,6,2,," Nedeľa 22.10.2017, 15:00"," 14. kolo, Číslo zápasu 70", ZŠ Lipt. Mikuláš, 950 divákov,10/22/2017 15:00,950,LM,DT
MHK 32 Liptovský Mikuláš,HK Nitra,1,2,," Piatok 27.10.2017, 17:00"," 15. kolo, Číslo zápasu 71", ZŠ Lipt. Mikuláš, 989 divákov,10/27/2017 17:00,989,LM,NR
HC 07 Detva,HK Poprad,7,3,," Piatok 27.10.2017, 18:00"," 15. kolo, Číslo zápasu 72", ZŠ Detva, 421 divákov,10/27/2017 18:00,421,DT,PP
HKM Zvolen,HC ‘05 iClinic Banská Bystrica,3,2,," Piatok 27.10.2017, 18:00"," 15. kolo, Číslo zápasu 73", ZŠ Zvolen, 3105 divákov,10/27/2017 18:00,3105,ZV,BB
HC Nové Zámky ,MsHK DOXXbet Žilina,0,3,," Piatok 27.10.2017, 18:30"," 15. kolo, Číslo zápasu 74", ZŠ Nové Zámky, 1834 divákov,10/27/2017 18:30,1834,NZ,ZI
HC Košice,HK DUKLA Trenčín,5,1,," Piatok 27.10.2017, 17:30"," 15. kolo, Číslo zápasu 75", STEEL Arena Košice, 6087 divákov,10/27/2017 17:30,6087,KE,TN
HK Nitra,HC Košice,4,2,," Nedeľa 29.10.2017, 16:00"," 16. kolo, Číslo zápasu 76", Nitra Aréna, 2463 divákov,10/29/2017 16:00,2463,NR,KE
HK DUKLA Trenčín,HC Nové Zámky ,3,0,," Nedeľa 29.10.2017, 15:00"," 16. kolo, Číslo zápasu 77"," ZŠ Pavla Demitru, Trenčín", 2430 divákov,10/29/2017 15:00,2430,TN,NZ
MsHK DOXXbet Žilina,HKM Zvolen,4,1,," Nedeľa 29.10.2017, 17:00"," 16. kolo, Číslo zápasu 78", _, 879 divákov,10/29/2017 17:00,879,ZI,ZV
HC ‘05 iClinic Banská Bystrica,HC 07 Detva,8,2,," Nedeľa 29.10.2017, 17:00"," 16. kolo, Číslo zápasu 79", ZŠ Banská Bystrica, 2771 divákov,10/29/2017 17:00,2771,BB,DT
HK Poprad,MHK 32 Liptovský Mikuláš,2,1,," Nedeľa 29.10.2017, 17:00"," 16. kolo, Číslo zápasu 80", ZŠ Poprad, 1246 divákov,10/29/2017 17:00,1246,PP,LM
HK Poprad,HK Nitra,3,4,sn," Streda 01.11.2017, 17:00"," 17. kolo, Číslo zápasu 81", ZŠ Poprad, 1017 divákov,11/1/2017 17:00,1017,PP,NR
MHK 32 Liptovský Mikuláš,HC ‘05 iClinic Banská Bystrica,2,3,pp," Streda 01.11.2017, 17:00"," 17. kolo, Číslo zápasu 82", ZŠ Lipt. Mikuláš, 1050 divákov,11/1/2017 17:00,1050,LM,BB
HC 07 Detva,MsHK DOXXbet Žilina,1,2,sn," Streda 01.11.2017, 18:00"," 17. kolo, Číslo zápasu 83", ZŠ Detva, 512 divákov,11/1/2017 18:00,512,DT,ZI
HKM Zvolen,HK DUKLA Trenčín,6,3,," Streda 01.11.2017, 17:00"," 17. kolo, Číslo zápasu 84", ZŠ Zvolen, 1888 divákov,11/1/2017 17:00,1888,ZV,TN
HC Nové Zámky ,HC Košice,5,3,," Streda 01.11.2017, 16:00"," 17. kolo, Číslo zápasu 85", ZŠ Nové Zámky, 1152 divákov,11/1/2017 16:00,1152,NZ,KE
HK Nitra,HC Nové Zámky ,4,0,," Piatok 03.11.2017, 18:00"," 18. kolo, Číslo zápasu 86", Nitra Aréna, 3047 divákov,11/3/2017 18:00,3047,NR,NZ
HC Košice,HKM Zvolen,3,4,sn," Piatok 03.11.2017, 17:30"," 18. kolo, Číslo zápasu 87", STEEL Arena Košice, 3887 divákov,11/3/2017 17:30,3887,KE,ZV
HK DUKLA Trenčín,HC 07 Detva,2,1,," Piatok 03.11.2017, 18:00"," 18. kolo, Číslo zápasu 88"," ZŠ Pavla Demitru, Trenčín", 2255 divákov,11/3/2017 18:00,2255,TN,DT
MsHK DOXXbet Žilina,MHK 32 Liptovský Mikuláš,3,1,," Piatok 03.11.2017, 18:00"," 18. kolo, Číslo zápasu 89", _, 1112 divákov,11/3/2017 18:00,1112,ZI,LM
HC ‘05 iClinic Banská Bystrica,HK Poprad,4,5,," Piatok 03.11.2017, 17:30"," 18. kolo, Číslo zápasu 90", ZŠ Banská Bystrica, 2321 divákov,11/3/2017 17:30,2321,BB,PP
HC ‘05 iClinic Banská Bystrica,HK Nitra,3,0,," Nedeľa 05.11.2017, 16:00"," 19. kolo, Číslo zápasu 91", ZŠ Banská Bystrica, 2511 divákov,11/5/2017 16:00,2511,BB,NR
MsHK DOXXbet Žilina,HK Poprad,1,2,," Nedeľa 05.11.2017, 17:00"," 19. kolo, Číslo zápasu 92", _, 892 divákov,11/5/2017 17:00,892,ZI,PP
HK DUKLA Trenčín,MHK 32 Liptovský Mikuláš,2,1,pp," Nedeľa 05.11.2017, 15:00"," 19. kolo, Číslo zápasu 93"," ZŠ Pavla Demitru, Trenčín", 2086 divákov,11/5/2017 15:00,2086,TN,LM
HC Košice,HC 07 Detva,3,1,," Nedeľa 05.11.2017, 17:00"," 19. kolo, Číslo zápasu 94", STEEL Arena Košice, 3056 divákov,11/5/2017 17:00,3056,KE,DT
HC Nové Zámky ,HKM Zvolen,3,4,sn," Nedeľa 05.11.2017, 16:00"," 19. kolo, Číslo zápasu 95", ZŠ Nové Zámky, 1168 divákov,11/5/2017 16:00,1168,NZ,ZV
HK Nitra,HKM Zvolen,3,2,," Piatok 17.11.2017, 17:00"," 20. kolo, Číslo zápasu 96", Nitra Aréna, 3217 divákov,11/17/2017 17:00,3217,NR,ZV
HC 07 Detva,HC Nové Zámky ,4,2,," Piatok 17.11.2017, 18:00"," 20. kolo, Číslo zápasu 97", ZŠ Detva, 754 divákov,11/17/2017 18:00,754,DT,NZ
MHK 32 Liptovský Mikuláš,HC Košice,2,4,," Piatok 17.11.2017, 17:00"," 20. kolo, Číslo zápasu 98", ZŠ Lipt. Mikuláš, 1344 divákov,11/17/2017 17:00,1344,LM,KE
HK Poprad,HK DUKLA Trenčín,1,2,," Piatok 17.11.2017, 17:00"," 20. kolo, Číslo zápasu 99", ZŠ Poprad, 2158 divákov,11/17/2017 17:00,2158,PP,TN
HC ‘05 iClinic Banská Bystrica,MsHK DOXXbet Žilina,4,0,," Piatok 17.11.2017, 17:00"," 20. kolo, Číslo zápasu 100", ZŠ Banská Bystrica, 2548 divákov,11/17/2017 17:00,2548,BB,ZI
MsHK DOXXbet Žilina,HK Nitra,2,4,," Nedeľa 19.11.2017, 17:00"," 21. kolo, Číslo zápasu 101", _, 873 divákov,11/19/2017 17:00,873,ZI,NR
HK DUKLA Trenčín,HC ‘05 iClinic Banská Bystrica,4,2,," Nedeľa 19.11.2017, 16:00"," 21. kolo, Číslo zápasu 102"," ZŠ Pavla Demitru, Trenčín", 3636 divákov,11/19/2017 16:00,3636,TN,BB
HC Košice,HK Poprad,3,1,," Nedeľa 19.11.2017, 17:00"," 21. kolo, Číslo zápasu 103", STEEL Arena Košice, 4527 divákov,11/19/2017 17:00,4527,KE,PP
HC Nové Zámky ,MHK 32 Liptovský Mikuláš,0,4,," Nedeľa 19.11.2017, 16:00"," 21. kolo, Číslo zápasu 104", ZŠ Nové Zámky, 948 divákov,11/19/2017 16:00,948,NZ,LM
HKM Zvolen,HC 07 Detva,6,2,," Nedeľa 19.11.2017, 17:00"," 21. kolo, Číslo zápasu 105", ZŠ Zvolen, 2693 divákov,11/19/2017 17:00,2693,ZV,DT
HK Nitra,HC 07 Detva,4,1,," Piatok 24.11.2017, 18:00"," 22. kolo, Číslo zápasu 106", Nitra Aréna, 2395 divákov,11/24/2017 18:00,2395,NR,DT
MHK 32 Liptovský Mikuláš,HKM Zvolen,5,7,," Piatok 24.11.2017, 17:00"," 22. kolo, Číslo zápasu 107", ZŠ Lipt. Mikuláš, 850 divákov,11/24/2017 17:00,850,LM,ZV
HK Poprad,HC Nové Zámky ,7,5,," Piatok 24.11.2017, 17:00"," 22. kolo, Číslo zápasu 108", ZŠ Poprad, 1118 divákov,11/24/2017 17:00,1118,PP,NZ
HC ‘05 iClinic Banská Bystrica,HC Košice,5,3,," Štvrtok 23.11.2017, 17:30"," 22. kolo, Číslo zápasu 109", ZŠ Banská Bystrica, 2532 divákov,11/23/2017 17:30,2532,BB,KE
MsHK DOXXbet Žilina,HK DUKLA Trenčín,2,5,," Štvrtok 23.11.2017, 18:00"," 22. kolo, Číslo zápasu 110", _, 821 divákov,11/23/2017 18:00,821,ZI,TN
HK DUKLA Trenčín,HK Nitra,1,4,," Sobota 25.11.2017, 17:00"," 23. kolo, Číslo zápasu 111"," ZŠ Pavla Demitru, Trenčín", 4467 divákov,11/25/2017 17:00,4467,TN,NR
HC Košice,MsHK DOXXbet Žilina,5,2,," Nedeľa 26.11.2017, 16:30"," 23. kolo, Číslo zápasu 112", STEEL Arena Košice, 3374 divákov,11/26/2017 16:30,3374,KE,ZI
HC Nové Zámky ,HC ‘05 iClinic Banská Bystrica,2,1,pp," Nedeľa 26.11.2017, 16:00"," 23. kolo, Číslo zápasu 113", ZŠ Nové Zámky, 843 divákov,11/26/2017 16:00,843,NZ,BB
HKM Zvolen,HK Poprad,4,2,," Nedeľa 26.11.2017, 17:00"," 23. kolo, Číslo zápasu 114", ZŠ Zvolen, 1512 divákov,11/26/2017 17:00,1512,ZV,PP
HC 07 Detva,MHK 32 Liptovský Mikuláš,0,1,," Nedeľa 26.11.2017, 17:00"," 23. kolo, Číslo zápasu 115", ZŠ Detva, 464 divákov,11/26/2017 17:00,464,DT,LM
HK Nitra,MHK 32 Liptovský Mikuláš,3,2,pp," Piatok 01.12.2017, 18:00"," 24. kolo, Číslo zápasu 116", Nitra Aréna, 2895 divákov,12/1/2017 18:00,2895,NR,LM
HK Poprad,HC 07 Detva,5,2,," Piatok 01.12.2017, 17:00"," 24. kolo, Číslo zápasu 117", ZŠ Poprad, 816 divákov,12/1/2017 17:00,816,PP,DT
HC ‘05 iClinic Banská Bystrica,HKM Zvolen,2,4,," Piatok 01.12.2017, 17:30"," 24. kolo, Číslo zápasu 118", ZŠ Banská Bystrica, 2751 divákov,12/1/2017 17:30,2751,BB,ZV
MsHK DOXXbet Žilina,HC Nové Zámky ,3,2,sn," Piatok 01.12.2017, 18:00"," 24. kolo, Číslo zápasu 119", _, 801 divákov,12/1/2017 18:00,801,ZI,NZ
HK DUKLA Trenčín,HC Košice,2,3,pp," Piatok 01.12.2017, 18:00"," 24. kolo, Číslo zápasu 120"," ZŠ Pavla Demitru, Trenčín", 3960 divákov,12/1/2017 18:00,3960,TN,KE
HC Košice,HK Nitra,7,2,," Nedeľa 03.12.2017, 17:00"," 25. kolo, Číslo zápasu 121", STEEL Arena Košice, 4699 divákov,12/3/2017 17:00,4699,KE,NR
HC Nové Zámky ,HK DUKLA Trenčín,1,5,," Nedeľa 03.12.2017, 16:00"," 25. kolo, Číslo zápasu 122", ZŠ Nové Zámky, 752 divákov,12/3/2017 16:00,752,NZ,TN
HKM Zvolen,MsHK DOXXbet Žilina,4,1,," Nedeľa 03.12.2017, 17:00"," 25. kolo, Číslo zápasu 123", ZŠ Zvolen, 1039 divákov,12/3/2017 17:00,1039,ZV,ZI
HC 07 Detva,HC ‘05 iClinic Banská Bystrica,2,3,sn," Nedeľa 03.12.2017, 17:00"," 25. kolo, Číslo zápasu 124", ZŠ Detva, 578 divákov,12/3/2017 17:00,578,DT,BB
MHK 32 Liptovský Mikuláš,HK Poprad,3,4,pp," Nedeľa 03.12.2017, 17:00"," 25. kolo, Číslo zápasu 125", ZŠ Lipt. Mikuláš, 985 divákov,12/3/2017 17:00,985,LM,PP
HK Nitra,HK Poprad,3,1,," Piatok 08.12.2017, 18:00"," 26. kolo, Číslo zápasu 126", Nitra Aréna, 2467 divákov,12/8/2017 18:00,2467,NR,PP
HC ‘05 iClinic Banská Bystrica,MHK 32 Liptovský Mikuláš,4,1,," Piatok 08.12.2017, 17:30"," 26. kolo, Číslo zápasu 127", ZŠ Banská Bystrica, 2157 divákov,12/8/2017 17:30,2157,BB,LM
MsHK DOXXbet Žilina,HC 07 Detva,3,1,," Piatok 08.12.2017, 18:00"," 26. kolo, Číslo zápasu 128", _, 755 divákov,12/8/2017 18:00,755,ZI,DT
HK DUKLA Trenčín,HKM Zvolen,3,4,pp," Piatok 08.12.2017, 18:00"," 26. kolo, Číslo zápasu 129"," ZŠ Pavla Demitru, Trenčín", 2877 divákov,12/8/2017 18:00,2877,TN,ZV
HC Košice,HC Nové Zámky ,7,0,," Utorok 28.11.2017, 17:30"," 26. kolo, Číslo zápasu 130", STEEL Arena Košice, 3019 divákov,11/28/2017 17:30,3019,KE,NZ
HC Nové Zámky ,HK Nitra,3,4,," Nedeľa 10.12.2017, 16:00"," 27. kolo, Číslo zápasu 131", ZŠ Nové Zámky, 1358 divákov,12/10/2017 16:00,1358,NZ,NR
HKM Zvolen,HC Košice,2,0,," Nedeľa 10.12.2017, 16:00"," 27. kolo, Číslo zápasu 132", ZŠ Zvolen, 2080 divákov,12/10/2017 16:00,2080,ZV,KE
HC 07 Detva,HK DUKLA Trenčín,2,6,," Nedeľa 10.12.2017, 17:00"," 27. kolo, Číslo zápasu 133", ZŠ Detva, 326 divákov,12/10/2017 17:00,326,DT,TN
MHK 32 Liptovský Mikuláš,MsHK DOXXbet Žilina,2,3,," Nedeľa 10.12.2017, 17:00"," 27. kolo, Číslo zápasu 134", ZŠ Lipt. Mikuláš, 750 divákov,12/10/2017 17:00,750,LM,ZI
HK Poprad,HC ‘05 iClinic Banská Bystrica,1,2,," Nedeľa 10.12.2017, 17:00"," 27. kolo, Číslo zápasu 135", ZŠ Poprad, 1215 divákov,12/10/2017 17:00,1215,PP,BB
HK Nitra,HC ‘05 iClinic Banská Bystrica,1,2,," Streda 20.12.2017, 18:00"," 28. kolo, Číslo zápasu 136", Nitra Aréna, 2936 divákov,12/20/2017 18:00,2936,NR,BB
HK Poprad,MsHK DOXXbet Žilina,2,0,," Streda 20.12.2017, 17:00"," 28. kolo, Číslo zápasu 137", ZŠ Poprad, 843 divákov,12/20/2017 17:00,843,PP,ZI
